ID,Title,Directed by,Produced by,Cinematography,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Production companies,Release Year,SentimentScore,Budget (float),Box Office Status
18,From Paris with Love,Pierre Morel,India Osborne,Michel Abramowicz,92.0,2010-02-05,EuropaCorp Distribution,English,Adi Hasak,"['John Travolta', 'Jonathan Rhys Meyers', 'Kasia Smutniak', 'Richard Durden']",Frédéric Thoraval,"['EuropaCorp', 'M6', 'Eclair Films', 'Canal+']",2010,0.3846153846153846,52000000.0,Failure
19,District 13: Ultimatum,Patrick Alessandrin,Luc Besson,Jean-François Hensgens,106.0,2009-02-18,EuropaCorp,French,Luc Besson,"['Cyril Raffaelli', 'David Belle', 'Philippe Torreton', 'Daniel Duval', 'Élodie Yung']","['Stéphane Garnier', 'Julien Rey']","['EuropaCorp', 'TF1 Films Production', 'CiBy 2000']",2009,0.5694444444444444,13600000.0,Failure
20,Shinjuku Incident,Derek Yee,"['Willie Chan', 'Solon So']",Kita Nobayasu,119.0,2009-04-02,"['JCE Movies Limited', 'Lark Films Distribution']",English,"['Derek Yee', 'Chun Tin-nam']","['Jackie Chan', 'Naoto Takenaka', 'Daniel Wu', 'Xu Jinglei', 'Fan Bingbing']","['Kong Chi-leung', 'Cheung Ka-fai']",Emperor Dragon Movies,2009,0.5652173913043478,15000000.0,Failure
21,Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,"['Karen Rosenfelt', 'Chris Columbus', 'Michael Barnathan', 'Mark Radcliffe']",Stephen Goldblatt,119.0,2010-02-02,20th Century Fox,English,Craig Titley,"['Logan Lerman', 'Brandon T. Jackson', 'Alexandra Daddario', 'Sean Bean', 'Pierce Brosnan', 'Steve Coogan', 'Rosario Dawson', 'Catherine Keener', 'Kevin McKidd', 'Joe Pantoliano', 'Uma Thurman']",Peter Honess,"['Fox 2000 Pictures', 'Dune Entertainment', '1492 Pictures', 'Sunswept Entertainment']",2010,0.44,95000000.0,Success
22,Valentine's Day,Garry Marshall,"['Mike Karz', 'Wayne Allan Rice']",Charles Minsky,125.0,2010-02-12,Warner Bros. Pictures,English,Katherine Fugate,"['Jessica Alba', 'Kathy Bates', 'Jessica Biel', 'Bradley Cooper', 'Eric Dane', 'Patrick Dempsey', 'Héctor Elizondo', 'Jamie Foxx', 'Jennifer Garner', 'Topher Grace', 'Anne Hathaway', 'Ashton Kutcher', 'Queen Latifah', 'Taylor Lautner', 'George Lopez', 'Shirley MacLaine', 'Emma Roberts', 'Julia Roberts', 'Taylor Swift']",Bruce Green,"['New Line Cinema', 'Wayne Rice Films', 'Karz Entertainment']",2010,0.76,52000000.0,Success
23,The Wolfman,Joe Johnston,"['Scott Stuber', 'Benicio del Toro', 'Rick Yorn', 'Sean Daniel']",Shelly Johnson,103.0,2010-01-27,Universal Pictures,English,"['Andrew Kevin Walker', 'David Self']","['Benicio del Toro', 'Anthony Hopkins', 'Emily Blunt', 'Hugo Weaving']","['Dennis Virkler', 'Walter Murch']","['Universal Pictures', 'Relativity Media', 'Stuber Pictures']",2010,0.79,150000000.0,Failure
24,Lourdes,Jessica Hausner,"['Philippe Bober', 'Martin Gschlacht', 'Susanne Marian']",Martin Gschlacht,96.0,2009-09-05,Sophie Dulac Distribution,French,Jessica Hausner,"['Sylvie Testud', 'Léa Seydoux', 'Bruno Todeschini', 'Elina Löwensohn']",Karina Ressler,"['ARTE', 'Canal+', 'Coop99 Filmproduktion']",2009,0.0,2000000.0,Failure
25,The Ghost Writer,Roman Polanski,"['Roman Polanski', 'Robert Benmussa', 'Alain Sarde']",Paweł Edelman,128.0,2010-02-12,"['Optimum Releasing', ' ', '(United Kingdom)', 'Pathé Distribution', ' ', '(France and Switzerland)', 'Kinowelt Filmverleih', ' ', '(Germany)']",English,"['Robert Harris', 'Roman Polanski']","['Ewan McGregor', 'Pierce Brosnan', 'Kim Cattrall', 'Olivia Williams', 'Tom Wilkinson', 'Timothy Hutton', 'Jon Bernthal', 'David Rintoul', 'Robert Pugh', 'Eli Wallach']",Hervé de Luze,"['R.P. Productions', 'France 2 Cinéma', 'Studio Babelsberg']",2010,0.7272727272727273,45000000.0,Failure
26,Shutter Island,Martin Scorsese,"['Mike Medavoy', 'Arnold W. Messer', 'Bradley J. Fischer', 'Martin Scorsese']",Robert Richardson,139.0,2010-02-13,Paramount Pictures,English,Laeta Kalogridis,"['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley', 'Michelle Williams', 'Emily Mortimer', 'Patricia Clarkson', 'Max von Sydow']",Thelma Schoonmaker,"['Phoenix Pictures', 'Sikelia Productions', 'Appian Way Productions']",2010,0.73,80000000.0,Success
27,The Good Guy,Julio DePietro,"['Linda Moran', 'Rene Bastian', 'Julio DePietro']",Seamus Tierney,91.0,2009-04-26,Roadside Attractions,English,Julio DePietro,"['Alexis Bledel', 'Scott Porter', 'Bryan Greenberg', 'Andrew McCarthy', 'Aaron Yoo']",Ray Hubley,Belladonna Productions Movie Studio,2009,0.4787234042553192,10000000.0,Failure
28,Cop Out,Kevin Smith,"['Marc Platt', 'Polly Johnsen', 'Michael Tadross']",David Klein,107.0,2010-02-26,Warner Bros. Pictures,English,"['Robb Cullen', 'Mark Cullen']","['Bruce Willis', 'Tracy Morgan', 'Adam Brody', 'Kevin Pollak', 'Guillermo Diaz', 'Seann William Scott']",Kevin Smith,"['Warner Bros. Pictures', 'Marc Platt Productions']",2010,0.40625,30000000.0,Failure
29,The Crazies,Breck Eisner,"['Michael Aguilar', 'Dean Georgaris', 'Rob Cowan']",Maxime Alexandre,101.0,2010-02-26,"['Overture Films', 'Participant Media (United States)', 'Gulf Film (United Arab Emirates)', 'Paramount Vantage (International)']",English,"['Scott Kosar', 'Ray Wright']","['Timothy Olyphant', 'Radha Mitchell', 'Joe Anderson', 'Danielle Panabaker']",Billy Fox,"['Overture Films', 'Participant Media', 'Imagenation Abu Dhabi']",2010,0.7,20000000.0,Success
30,Formosa Betrayed,Adam Kane,"['Will Tiao', 'Adam Kane', 'David Cluck']",Irek Hartowicz,103.0,2009-07-24,Screen Media Films,English,"['Will Tiao', 'Katie Swain', 'Charlie Stratton', 'Yann Samuell', 'Brian Askew', 'Nathaniel Goodman']","['James Van Der Beek', 'Wendy Crewson', 'John Heard', 'Will Tiao', 'Tzi Ma', 'Leslie Hope', 'Kenneth Tsang']",Howard E. Smith,Living Films,2009,0.4,6000000.0,Failure
31,A Prophet,Jacques Audiard,"['Lauranne Bourrachot', 'Martine Cassinelli', 'Pascal Caucheteux', 'Marco Cherqui']",Stéphane Fontaine,155.0,2009-05-16,UGC Distribution,English,"['Jacques Audiard', 'Thomas Bidegain', 'Abdel Raouf Dafri', 'Nicolas Peufaillit']","['Tahar Rahim', 'Niels Arestrup', 'Adel Bencherif']",Juliette Welfling,"['Why Not Productions', 'Chic Films', 'Page 114']",2009,0.67,13000000.0,Failure
32,Alice in Wonderland,Tim Burton,"['Richard D. Zanuck', 'Joe Roth', 'Suzanne Todd', 'Jennifer Todd']",Dariusz Wolski,108.0,2010-02-25,Walt Disney Studios Motion Pictures,English,Linda Woolverton,"['Johnny Depp', 'Anne Hathaway', 'Helena Bonham Carter', 'Crispin Glover', 'Matt Lucas', 'Mia Wasikowska', 'Alan Rickman', 'Stephen Fry', 'Michael Sheen', 'Timothy Spall']",Chris Lebenzon,"['Walt Disney Pictures', 'Roth Films', 'The Zanuck Company', 'Team Todd']",2010,0.82,200000000.0,Success
33,Brooklyn's Finest,Antoine Fuqua,"['Elie Cohn', 'Basil Iwanyk', 'John Langley', 'John Thompson']",Patrick Murguia,132.0,2009-01-16,Overture Films,English,Michael C. Martin,"['Richard Gere', 'Don Cheadle', 'Ethan Hawke', 'Wesley Snipes', 'Will Patton', 'Lili Taylor', ""Brían F. O'Byrne"", 'Shannon Kane', 'Ellen Barkin']",Barbara Tulliver,"['Millennium Films', 'Thunder Road Pictures', 'Nu Image']",2009,0.8,17000000.0,Failure
34,Green Zone,Paul Greengrass,"['Tim Bevan', 'Eric Fellner', 'Lloyd Levin', 'Paul Greengrass']",Barry Ackroyd,115.0,2010-02-26,"['Universal Pictures (International)', 'StudioCanal (France)']",English,Brian Helgeland,"['Matt Damon', 'Greg Kinnear', 'Brendan Gleeson', 'Amy Ryan', 'Khalid Abdalla', 'Jason Isaacs']",Christopher Rouse,Working Title Films,2010,0.7,100000000.0,Failure
35,Remember Me,Allen Coulter,"['Nicholas Osborne', 'Trevor Engelson', 'Erik Feig', 'Robert Pattinson']",Jonathan Freeman,108.0,2010-03-01,Summit Entertainment,English,Will Fetters,"['Robert Pattinson', 'Emilie de Ravin', 'Chris Cooper', 'Lena Olin', 'Tate Ellington', 'Pierce Brosnan']",Andrew Mondshein,Underground Films,2010,0.5,16000000.0,Success
36,She's Out of My League,Jim Field Smith,"['Jimmy Miller', 'David Householter']",Jim Denault,104.0,2010-03-12,Paramount Pictures,English,"['Sean Anders', 'John Morris']","['Jay Baruchel', 'Alice Eve', 'T.J. Miller', 'Mike Vogel', 'Nate Torrence', 'Krysten Ritter', 'Geoff Stults', 'Lindsay Sloane']",Dan Schalk,"['DreamWorks Pictures', 'Mosaic Media Group']",2010,0.59,20000000.0,Success
37,Monsters,Gareth Edwards,"['Allan Niblo', 'James Richardson']",Gareth Edwards,94.0,2010-03-13,Vertigo Films,English,Gareth Edwards,"['Scoot McNairy', 'Whitney Able']",['Colin Goudie'],Vertigo Films,2010,0.5,500000.0,Success
38,The Bounty Hunter,Andy Tennant,Neal H. Moritz,Oliver Bokelberg,106.0,2010-03-19,Sony Pictures Releasing,English,Sarah Thorp,"['Jennifer Aniston', 'Gerard Butler', 'Christine Baranski']",Troy Takaki,"['Columbia Pictures', 'Relativity Media', 'Original Film']",2010,0.6363636363636364,45000000.0,Success
39,Diary of a Wimpy Kid,Thor Freudenthal,"['Nina Jacobson', 'Brad Simpson']",Jack N. Green,92.0,2010-03-19,20th Century Fox,English,"['Jackie Filgo Jeff Filgo', 'Jeff Judah', 'Gabe Sachs']","['Zachary Gordon', 'Robert Capron', 'Rachael Harris', 'Steve Zahn']",Wendy Greene Bricmont,"['Fox 2000 Pictures', 'Color Force', 'Dune Entertainment']",2010,0.53,15000000.0,Success
40,Repo Men,Miguel Sapochnik,Scott Stuber,Enrique Chediak,111.0,2010-03-19,Universal Pictures,English,"['Eric Garcia', 'Garrett Lerner']","['Jude Law', 'Forest Whitaker', 'Liev Schreiber', 'Alice Braga', 'Carice van Houten', 'Chandler Canterbury', 'RZA', 'Yvette Nicole Brown']",Richard Francis-Bruce,"['Relativity Media', 'Stuber Pictures']",2010,0.46,32000000.0,Failure
41,City Island,Raymond De Felitta,"['Raymond De Felitta', 'Andy Garcia', 'Lauren Versel', 'Zachary Matz']",Vanja Cernjul,104.0,2009-03-23,Anchor Bay Films,English,Raymond De Felitta,"['Andy Garcia', 'Julianna Margulies', 'Steven Strait', 'Emily Mortimer', 'Ezra Miller', 'Dominik Garcia-Lorido', 'Alan Arkin']",David Leonard,"['CineSon Entertainment', 'Medici Entertainment', 'NovaStar Digital']",2009,0.875,6000000.0,Failure
42,Greenberg,Noah Baumbach,"['Scott Rudin', 'Jennifer Jason Leigh']",Harris Savides,107.0,2010-02-14,Focus Features,English,Noah Baumbach,"['Ben Stiller', 'Greta Gerwig', 'Rhys Ifans', 'Jennifer Jason Leigh']",Tim Streeto,Scott Rudin Productions,2010,0.4929577464788732,25000000.0,Failure
43,The Runaways,Floria Sigismondi,"['John Linson', 'Art Linson', 'Bill Pohlad']",Benoît Debie,106.0,2010-01-24,"['Apparition (United States)', 'Summit Entertainment (international)']",English,Floria Sigismondi,"['Dakota Fanning', 'Kristen Stewart', 'Michael Shannon']",Richard Chew,"['River Road Entertainment', 'Linson Entertainment']",2010,0.5294117647058824,10000000.0,Failure
44,Hot Tub Time Machine,Steve Pink,"['John Cusack', 'Grace Loh', 'John Morris', 'Matt Moore']",Jack N. Green,99.0,2010-03-26,"['MGM Distribution Co.', ' (United States)', 'Lakeshore International', ' (International)']",English,"['Josh Heald', 'Sean Anders', 'John Morris']","['John Cusack', 'Rob Corddry', 'Craig Robinson', 'Clark Duke', 'Crispin Glover', 'Lizzy Caplan', 'Chevy Chase']","['George Folsey, Jr.', 'James Thomas']","['New Crime Productions', 'Metro-Goldwyn-Mayer', 'United Artists']",2010,0.61,36000000.0,Failure
46,Chloe,Atom Egoyan,"['Joe Medjuck', 'Jeffrey Clifford', 'Ivan Reitman']",Paul Sarossy,96.0,2009-09-13,"['Sony Pictures Classics (United States)', 'E1 Distribution (Canada)', 'StudioCanal (France)']",English,Erin Cressida Wilson,"['Julianne Moore', 'Liam Neeson', 'Amanda Seyfried', 'Max Thieriot']",Susan Shipton,"['The Montecito Picture Company', 'StudioCanal']",2009,0.48,10000000.0,Failure
47,The Last Song,Julie Anne Robinson,"['Adam Shankman', 'Jennifer Gibgot']",John Lindley,107.0,2010-03-31,"['Walt Disney Studios', 'Motion Pictures']",English,"['Nicholas Sparks', 'Jeff Van Wie']","['Miley Cyrus', 'Liam Hemsworth', 'Bobby Coleman', 'Kelly Preston', 'Greg Kinnear']",Nancy Richardson,"['Touchstone Pictures', 'Offspring Entertainment']",2010,0.5490196078431373,20000000.0,Success
48,Clash of the Titans,Louis Leterrier,"['Basil Iwanyk', 'Kevin De La Noy', 'Richard D. Zanuck']",Peter Menzies Jr.,108.0,2010-04-02,Warner Bros. Pictures,English,"['Travis Beacham', 'Phil Hay', 'Matt Manfredi']","['Sam Worthington', 'Gemma Arterton', 'Mads Mikkelsen', 'Alexa Davalos', 'Ralph Fiennes', 'Liam Neeson']","['Vincent Tabaillon', 'Martin Walsh']","['Legendary Pictures', 'The Zanuck Company', 'Thunder Road Pictures']",2010,0.5858585858585859,125000000.0,Success
49,Why Did I Get Married Too?,Tyler Perry,"['Tyler Perry', 'Reuben Cannon']",Toyomichi Kurita,121.0,2010-04-02,Lionsgate,English,Tyler Perry,"['Janet Jackson', 'Jill Scott', 'Sharon Leal', 'Malik Yoba', 'Richard T. Jones', 'Tasha Smith', 'Lamman Rucker', 'Michael Jai White', 'Louis Gossett Jr.', 'Cicely Tyson', 'Tyler Perry']",Maysie Hoy,Tyler Perry Studios,2010,0.4,20000000.0,Success
50,The Greatest,Shana Feste,"['Lynette Howell', 'Beau St. Clair']",John Bailey,98.0,2009-01-17,Paladin,English,Shana Feste,"['Pierce Brosnan', 'Susan Sarandon', 'Carey Mulligan']",Cara Silverman,"['Barbarian Film Group', 'Oceana Media Finance', 'Silverwood Films', 'Irish DreamTime']",2009,0.5774647887323944,6000000.0,Failure
51,Date Night,Shawn Levy,Shawn Levy,Dean Semler,88.0,2010-04-06,20th Century Fox,English,Josh Klausner,"['Steve Carell', 'Tina Fey', 'Taraji P. Henson', 'Common', 'Mark Wahlberg']",Dean Zimmerman,"['20th Century Fox', '21 Laps Entertainment', 'Dune Entertainment']",2010,0.8,55000000.0,Success
54,Death at a Funeral,Neil LaBute,"['Sidney Kimmel', 'William Horberg', 'Chris Rock', 'Share Stallings', 'Laurence Malkin']",Rogier Stoffers,92.0,2010-04-12,Screen Gems (through Sony Pictures Releasing ),English,Dean Craig,"['Loretta Devine', 'Peter Dinklage', 'Danny Glover', 'Regina Hall', 'Martin Lawrence', 'James Marsden', 'Tracy Morgan', 'Chris Rock', 'Zoë Saldaña', 'Columbus Short', 'Luke Wilson', 'Keith David', 'Ron Glass', 'Kevin Hart']",Tracey Wadmore-Smith,"['Sidney Kimmel Entertainment', 'Wonderful Films', 'Parabolic Pictures', 'Stable Way Entertainment']",2010,0.65,21000000.0,Success
55,Kick-Ass,Matthew Vaughn,"['Matthew Vaughn', 'Brad Pitt', 'Kris Thykier', 'Adam Bohling', 'Tarquin Pack', 'David Reid']",Ben Davis,118.0,2010-03-12,"['Lionsgate (United States)', 'Focus Features International (Uncredited; United Kingdom, Australia, Germany, Latin America, Austria, Switzerland and New Zealand; through Universal Pictures )']",English,"['Jane Goldman', 'Matthew Vaughn']","['Aaron Johnson', 'Christopher Mintz-Plasse', 'Chloë Grace Moretz', 'Mark Strong', 'Nicolas Cage']","['Pietro Scalia', 'Jon Harris', 'Eddie Hamilton']","['Marv Films', 'Plan B Entertainment']",2010,0.59,28000000.0,Success
57,The Joneses,Derrick Borte,"['Derrick Borte', 'Doug Mankoff', 'Andrew Spaulding', 'Kristi Zea']",Yaron Orbach,96.0,2009-09-13,Roadside Attractions,English,Derrick Borte,"['Demi Moore', 'David Duchovny', 'Amber Heard', 'Ben Hollingsworth', 'Gary Cole', 'Lauren Hutton']",Janice Hampton,"['Premiere Picture', 'Echo Lake Productions']",2009,0.4444444444444444,10000000.0,Failure
59,The Back-up Plan,Alan Poul,"['Todd Black', 'Jason Blumenthal', 'Steve Tisch']",Xavier Pérez Grobet,104.0,2010-04-23,"['CBS Films', ' (United States)', 'Sony Pictures Releasing International', ' (International)']",English,Kate Angelo,"['Jennifer Lopez', ""Alex O'Loughlin"", 'Eric Christian Olsen', 'Anthony Anderson', 'Linda Lavin']",Priscilla Nedd-Friendly,Escape Artists,2010,0.59,35000000.0,Failure
60,The Losers,Sylvain White,"['Joel Silver', 'Akiva Goldsman', 'Kerry Foster']",Scott Kevan,97.0,2010-04-23,Warner Bros. Pictures,English,"['Peter Berg', 'James Vanderbilt']","['Jeffrey Dean Morgan', 'Zoe Saldana', 'Chris Evans', 'Idris Elba', 'Columbus Short', 'Oscar Jaenada', 'Jason Patric']",David Checel,"['Dark Castle Entertainment', 'Vertigo (DC)', 'StudioCanal', 'Weed Road Pictures']",2010,0.3333333333333333,25000000.0,Failure
61,Boogie Woogie,Duncan Ward,"['Danny Moynihan', 'Kami Naghdi', 'Christopher Simon', 'Cat Villiers']",John Mathieson,94.0,2009-06-26,Vertigo Films,English,Danny Moynihan,"['Gillian Anderson', 'Alan Cumming', 'Heather Graham', 'Danny Huston', 'Christopher Lee', 'Joanna Lumley', 'Charlotte Rampling', 'Amanda Seyfried', 'Stellan Skarsgård', 'Jaime Winstone']",Kant Pan,"['The Works International', 'Constance Media', 'Firefly Films', 'Muse Productions', 'P&C Arcade Films', 'Piccadilly Pictures', 'Autonomous', 'Colourframe', 'S Films']",2009,0.6,6000000.0,Failure
62,Furry Vengeance,Roger Kumble,"['Robert Simonds', 'Keith Goldberg']",Peter Lyons Collister,92.0,2010-04-30,Summit Entertainment,English,"['Michael Carnes', 'Josh Gilbert']","['Brendan Fraser', 'Brooke Shields', 'Ken Jeong']",Lawrence Jordan,"['Participant Media', 'Imagenation Abu Dhabi', 'Robert Simonds Productions']",2010,0.53,35000000.0,Failure
63,A Nightmare on Elm Street,Samuel Bayer,"['Michael Bay', 'Andrew Form', 'Brad Fuller']",Jeff Cutter,95.0,2010-04-27,Warner Bros. Pictures,English,"['Wesley Strick', 'Eric Heisserer']","['Jackie Earle Haley', 'Kyle Gallner', 'Rooney Mara', 'Katie Cassidy', 'Thomas Dekker', 'Kellan Lutz']",Glen Scantlebury,"['New Line Cinema', 'Platinum Dunes']",2010,0.52,35000000.0,Success
65,Harry Brown,Daniel Barber,"['Matthew Vaughn', 'Kris Thykier', 'Matthew Brown', 'Keith Bell']",Martin Ruhe,103.0,2009-09-12,Lionsgate,English,Gary Young,"['Michael Caine', 'Emily Mortimer', 'Charlie Creed-Miles', 'David Bradley', 'Iain Glen', 'Sean Harris', 'Ben Drew', ""Jack O'Connell"", 'Jamie Downey', 'Liam Cunningham']",Joe Walker,"['Marv Partners', 'UK Film Council', 'HanWay Films', 'Prescience', 'Framestore Features']",2009,0.5,7300000.0,Failure
